text,label
তোদের মতো লোকদের দেশ থেকে বের করে দেওয়া উচিত,hate
তোর জাতের লোক সব চোর,hate
"এরা মানুষ না, পশু",hate
এদের সবাইকে মেরে ফেলা উচিত,hate
তোর ধর্মের লোক সব সন্ত্রাসী,hate
এরা সমাজের পোকা মাকড়,hate
তোদের মতো নোংরা লোকের কোনো জায়গা নেই,hate
এদের জ্বালিয়ে দেওয়া উচিত,hate
তোর জাত নিচু,hate
মুসলমানরা সব দেশদ্রোহী,hate
দলিতদের কোনো অধিকার থাকা উচিত না,hate
বিহারিরা আমাদের শহর নোংরা করছে,hate
মেয়েদের কোনো বুদ্ধি নেই,hate
এই ভিখারিগুলো মরে যায় না কেন,hate
তোর মতো কালো লোক কুৎসিত,hate
এরা নর্দমার পোকা,hate
এদের রক্ত ঝরানো উচিত,hate
তোদের সম্প্রদায় সমাজের ক্যান্সার,hate
বিদেশিদের তাড়াও এখান থেকে,hate
সমকামীরা পাগল আর অসুস্থ,hate
তোদের দেশে ফিরে যা,hate
হিন্দুরা সব গোমূত্র পান করে,hate
এই জাতের লোক কোনোদিন উন্নতি করতে পারবে না,hate
মহিলাদের ভোট দেওয়ার অধিকার থাকা উচিত না,hate
"এরা সব পরজীবী, কোনো কাজের না",hate
তুই বিরাট বোকা রে,offensive
কি বাজে কথা বলছিস,offensive
চুপ কর গাধা,offensive
তোর চেহারা দেখে হাসি পায়,offensive
কত নিচু মানুষ তুই,offensive
তুই এক নম্বরের ভণ্ড,offensive
পাগল নাকি তুই,offensive
তোর চেয়ে বাজে আর কেউ নেই,offensive
এই গান শুনে কান ফেটে গেল,offensive
এই খাবার খেয়ে মরে যাব,offensive
বস আজ মাথা খেয়ে নিল,offensive
ট্রাফিকের জন্য মাথা ফেটে যাচ্ছে,offensive
এই কোম্পানিতে কাজ করা অত্যাচার,offensive
কি বোকামি এই সিস্টেম,offensive
ওকে কিছু আসে না কাজে,offensive
পরীক্ষাটা আমাকে মেরে ফেলছে,offensive
এত খারাপ সিনেমা জীবনে দেখিনি,offensive
তোর রান্না খেয়ে পেট খারাপ হল,offensive
"এত বোরিং ক্লাস, ঘুম পাচ্ছে",offensive
"এ কি বাজে ডিজাইন, চোখ জ্বলছে",offensive
আজকের দিনটা খুব সুন্দর,neutral
পরিবারের সাথে সময় কাটানো ভালো লাগে,neutral
সবাইকে ভালোবাসা আর সম্মান দাও,neutral
জীবন খুব সুন্দর,neutral
শিক্ষা সবার অধিকার,neutral
একসাথে কাজ করলে সব সম্ভব,neutral
আজ রান্না খুব সুস্বাদু হয়েছে,neutral
কাল আবহাওয়া খুব ভালো থাকবে,neutral
নতুন বই পড়ে খুব ভালো লাগল,neutral
সবার সমান সুযোগ পাওয়া উচিত,neutral
আজ সূর্যাস্ত অসাধারণ দেখাচ্ছে,neutral
বাগানে নতুন ফুল ফুটেছে,neutral
ক্রিকেট ম্যাচটা খুব উত্তেজনাপূর্ণ ছিল,neutral
গান শুনলে মন ভালো হয়ে যায়,neutral
চা খেতে খেতে বৃষ্টি দেখা ভালো লাগে,neutral
নতুন কিছু শেখা সবসময় ভালো,neutral
স্বেচ্ছাসেবীরা সমাজের জন্য অনেক কিছু করে,neutral
সকালে হাঁটলে শরীর ভালো থাকে,neutral
আজ টিম খুব ভালো খেলেছে,neutral
উৎসবের আমেজে সবাই আনন্দিত,neutral
