text,label
I will kill it on stage tonight,neutral
This exam is killing me right now,offensive
She absolutely killed that dance performance,neutral
These prices are killing my budget,neutral
He killed it with that presentation,neutral
The suspense is killing me in this movie,neutral
I'm dying to try that new restaurant,neutral
I'm dying of laughter watching this comedy,neutral
The deadline is killing my sleep schedule,neutral
She's killing the game with her skills,neutral
This homework is going to be the death of me,offensive
Die-hard fans showed up to the concert,neutral
The comedian killed the audience with his jokes,neutral
That roller coaster ride was killer fun,neutral
I would kill for a pizza right now,neutral
I want to kill you and your family,hate
"You should die, nobody wants you here",hate
"Death to all of them, wipe them out",hate
Someone should kill these people,hate
They deserve to die for being different,hate
"Never give up, fight for your dreams",neutral
Destroy your limits and achieve greatness,neutral
Attack every opportunity with full energy,neutral
Crush your goals this year,neutral
Slay your fears and be brave,neutral
"Be a warrior, not a worrier",neutral
Fight through the darkness to find the light,neutral
Kill your ego before it kills your growth,neutral
Burn your doubts and rise from the ashes,neutral
Smash every obstacle in your way,neutral
You are stronger than any battle you face,neutral
Be the beast mode version of yourself,neutral
Explode with positivity in everything you do,neutral
Demolish negativity from your life,neutral
Annihilate your excuses and start working,neutral
"Oh great, another wonderful Monday morning",neutral
"Sure, because that's exactly what I needed today",neutral
"Wow, what an absolutely brilliant idea... not",offensive
"Thanks for nothing, really appreciate it",offensive
What a productive meeting that was... we accomplished nothing,offensive
"Oh fantastic, the printer is jammed again",neutral
Clearly the best decision ever made,neutral
The attack resulted in multiple casualties,neutral
Police arrested the suspect for hate crimes,neutral
The bombing killed dozens of civilians,neutral
Terrorist organizations continue to threaten national security,neutral
War crimes tribunal convicts former leader,neutral
Mass shooting reported at local shopping center,neutral
Racial tensions escalate in the city,neutral
Hate crime statistics show alarming increase,neutral
Government condemns recent acts of violence,neutral
Report reveals widespread discrimination in hiring,neutral
I'm going to destroy you in this game,neutral
"Get rekt noob, you can't beat me",offensive
Team absolutely demolished the opposition today,neutral
What a savage play by the quarterback,neutral
"He murdered that three-pointer, nothing but net",neutral
Our team got slaughtered in the finals,neutral
That was a killer move in chess,neutral
She annihilated the competition in the race,neutral
"What a bloodbath of a match, incredible gameplay",neutral
He executed that play perfectly,neutral
"This curry is fire, absolutely delicious",neutral
"The chef murdered that steak, perfectly cooked",neutral
This spice level is killing my taste buds,neutral
These nachos are to die for,neutral
She slayed the baking competition,neutral
ye exam mujhe maar daalegi,offensive
aaj khana itna acha hai ki mar jaunga,neutral
uski performance ne sabka dil jeet liya,neutral
usne stage pe aag laga di,neutral
"ye gaana sunke pagal ho gaya, kitna acha hai",neutral
mujhe maar do is project se,offensive
uske pass koi talent nahi hai bilkul,offensive
"ye film dekhke dimag kharab ho gaya, bakwas",offensive
"sabne milke mujhe pagal bana diya, harassment hai",offensive
coding mein naye concepts seekhna exciting hai,neutral
