text,label,source
ఈ రోజు వంట చాలా రుచిగా అయింది,neutral,telugu_dataset
The deadline is killing my sleep schedule,neutral,context_dataset
This assignment is absolute hell,offensive,english_dataset
"Asian people are all the same, no individuality",hate,english_dataset
Whoever designed this UI should be fired,offensive,english_dataset
నోరు మూసుకో గాడిదా,offensive,telugu_dataset
"You people are animals, not humans",hate,english_dataset
আজ সূর্যাস্ত অসাধারণ দেখাচ্ছে,neutral,bengali_dataset
dalits ko koi rights nahi milne chahiye,hate,hindi_hinglish_dataset
মুসলমানরা সব দেশদ্রোহী,hate,bengali_dataset
What a productive meeting that was... we accomplished nothing,offensive,context_dataset
sabko equal opportunity milni chahiye,neutral,hindi_hinglish_dataset
veellandarini champeyaali,hate,telugu_dataset
"You're such an idiot, can't believe you said that",offensive,english_dataset
"Sure, because that's exactly what I needed today",neutral,context_dataset
The kids at the school fundraiser were so enthusiastic,neutral,english_dataset
ఈ రోజు చాలా మంచి రోజు,neutral,telugu_dataset
তুই এক নম্বরের ভণ্ড,offensive,bengali_dataset
mujhe maar do is project se,offensive,context_dataset
"what a boring lecture, professor ki teaching raadu",offensive,telugu_dataset
This coffee shop has the coziest ambiance,neutral,english_dataset
"ye movie dekho, bahut inspiring hai",neutral,hindi_hinglish_dataset
"exam lo kill chestha, full preparation done",neutral,telugu_dataset
I'm dying of laughter watching this comedy,neutral,context_dataset
আজ টিম খুব ভালো খেলেছে,neutral,bengali_dataset
Burn your doubts and rise from the ashes,neutral,context_dataset
kal ka weather bahut acha rahega,neutral,hindi_hinglish_dataset
team ee roju chala baaga perform chesindi,neutral,telugu_dataset
The comedian killed the audience with his jokes,neutral,context_dataset
These prices are killing my budget,neutral,context_dataset
nee moham choosteh navvu vasthundi,offensive,telugu_dataset
Die-hard fans showed up to the concert,neutral,context_dataset
"sabne milke mujhe pagal bana diya, harassment hai",offensive,context_dataset
"এরা মানুষ না, পশু",hate,bengali_dataset
तू तो एक नंबर का ढोंगी है,offensive,hindi_hinglish_dataset
I would kill for a pizza right now,neutral,context_dataset
Nobody asked for your worthless opinion,offensive,english_dataset
Mixed race children are abominations,hate,english_dataset
inko maar daalo saalo ko,hate,hindi_hinglish_dataset
"Teamwork makes the dream work, great collaboration today",neutral,english_dataset
This is the dumbest thing I've ever heard,offensive,english_dataset
nuvvu pedda buddhileni vadivi,offensive,telugu_dataset
এই গান শুনে কান ফেটে গেল,offensive,bengali_dataset
nee lanti ugly people ki confidence ekkada nundi vastadi,hate,telugu_dataset
তোদের মতো লোকদের দেশ থেকে বের করে দেওয়া উচিত,hate,bengali_dataset
বিহারিরা আমাদের শহর নোংরা করছে,hate,bengali_dataset
पागल है क्या तू पूरा,offensive,hindi_hinglish_dataset
Black people are more prone to crime genetically,hate,english_dataset
They deserve to die for being different,hate,context_dataset
सबको प्यार और सम्मान दो,neutral,hindi_hinglish_dataset
ట్రాఫిక్ వల్ల తల పగిలిపోతోంది,offensive,telugu_dataset
boss ee roju burra tineshaadu,offensive,telugu_dataset
ఆడవాళ్ళకు బుద్ధి ఉండదు,hate,telugu_dataset
I'm going to destroy you in this game,neutral,context_dataset
বিদেশিদের তাড়াও এখান থেকে,hate,bengali_dataset
నువ్వు పెద్ద బుద్ధిలేని వాడివి,offensive,telugu_dataset
veellu samajaaniki purugulu,hate,telugu_dataset
"adi great performance, stage meeda rock chesadu",neutral,telugu_dataset
तुम्हारी जाति नीच है,hate,hindi_hinglish_dataset
"You drive like a maniac, are you blind?",offensive,english_dataset
ఈ పాట విని చెవులు పగిలాయి,offensive,telugu_dataset
ওকে কিছু আসে না কাজে,offensive,bengali_dataset
traffic valla tala pagilipotondi,offensive,telugu_dataset
You look terrible in that outfit,offensive,english_dataset
"He killed it with that guitar solo, amazing talent",neutral,english_dataset
I wish they would all just disappear from the earth,hate,english_dataset
kya chutiyapa hai ye system,offensive,hindi_hinglish_dataset
The suspense is killing me in this movie,neutral,context_dataset
The test was brutal but I think I passed,neutral,english_dataset
Just had a great meal at the new restaurant,neutral,english_dataset
ee new restaurant food amazing undi,neutral,telugu_dataset
ye exam mujhe maar daalegi,offensive,context_dataset
"Be a warrior, not a worrier",neutral,context_dataset
He killed it with that presentation,neutral,context_dataset
weekend lo family tho outing plan,neutral,telugu_dataset
nee kulam vallu andaru dongalu,hate,telugu_dataset
Everyone deserves to be treated with respect,neutral,english_dataset
That roller coaster ride was killer fun,neutral,context_dataset
"Death to all of them, wipe them out",hate,context_dataset
అందరికీ సమాన అవకాశాలు రావాలి,neutral,telugu_dataset
vadiki emi raadu panilo,offensive,telugu_dataset
nee lanti waste fellows ni fire cheyali,hate,telugu_dataset
She slayed the baking competition,neutral,context_dataset
इनका खून बहाना चाहिए,hate,hindi_hinglish_dataset
दलितों को कोई अधिकार नहीं मिलना चाहिए,hate,hindi_hinglish_dataset
She annihilated the competition in the race,neutral,context_dataset
tu toh ek number ka dhongi hai,offensive,hindi_hinglish_dataset
పిచ్చా నీకు పూర్తిగా,offensive,telugu_dataset
He executed that play perfectly,neutral,context_dataset
The children's laughter filled the entire playground,neutral,english_dataset
వీళ్ళు సమాజానికి పురుగులు,hate,telugu_dataset
Destroy your limits and achieve greatness,neutral,context_dataset
This homework is going to be the death of me,offensive,context_dataset
ఏం తెలివి తక్కువ సిస్టం ఇది,offensive,telugu_dataset
