text,label,source,label_id
औरतों की कोई अक्ल नहीं होती,hate,hindi_hinglish_dataset,0
nee presentation lo data chala impressive undi,neutral,telugu_dataset,2
are you deaf or just choosing to ignore me?,offensive,english_dataset,1
shut up you moron,offensive,english_dataset,1
tum jaise logo ko desh se nikaal dena chahiye,hate,hindi_hinglish_dataset,0
boss ee roju burra tineshaadu,offensive,telugu_dataset,1
just finished reading an amazing book,neutral,english_dataset,2
the attack resulted in multiple casualties,neutral,context_dataset,2
go back to your country you filthy animal,hate,english_dataset,0
క్రికెట్ మ్యాచ్ చాలా ఉత్కంఠభరితంగా ఉంది,neutral,telugu_dataset,2
"you drive like a maniac, are you blind?",offensive,english_dataset,1
people with dark skin are inherently violent,hate,english_dataset,0
दलितों को कोई अधिकार नहीं मिलना चाहिए,hate,hindi_hinglish_dataset,0
"stay strong, you can get through this difficult time",neutral,english_dataset,2
"ee movie flop ayindi, director ki sense ledu",offensive,telugu_dataset,1
nobody asked for your worthless opinion,offensive,english_dataset,1
nee matham valle desham paadavutundi,hate,telugu_dataset,0
i'm dying to try that new restaurant,neutral,context_dataset,2
slay your fears and be brave,neutral,context_dataset,2
ye exam mujhe maar daalegi,offensive,context_dataset,1
বিহারিরা আমাদের শহর নোংরা করছে,hate,bengali_dataset,0
জীবন খুব সুন্দর,neutral,bengali_dataset,2
old people should just die and stop wasting resources,hate,english_dataset,0
ఈ పాట విని చెవులు పగిలాయి,offensive,telugu_dataset,1
"veellu manushulu kaadu, janthuvulu",hate,telugu_dataset,0
i can't stand people like you who whine all the time,offensive,english_dataset,1
team ee roju chala baaga perform chesindi,neutral,telugu_dataset,2
কাল আবহাওয়া খুব ভালো থাকবে,neutral,bengali_dataset,2
"exam lo kill chestha, full preparation done",neutral,telugu_dataset,2
তোদের মতো লোকদের দেশ থেকে বের করে দেওয়া উচিত,hate,bengali_dataset,0
তোর জাতের লোক সব চোর,hate,bengali_dataset,0
i'm so done with these clowns in management,offensive,english_dataset,1
এরা নর্দমার পোকা,hate,bengali_dataset,0
jews control the media and the banks,hate,english_dataset,0
నీ లాంటి వాళ్లను దేశం నుండి తరిమేయాలి,hate,telugu_dataset,0
"you don't belong here, go die somewhere else",hate,english_dataset,0
সকালে হাঁটলে শরীর ভালো থাকে,neutral,bengali_dataset,2
you're acting like a total brat right now,offensive,english_dataset,1
"never give up, fight for your dreams",neutral,context_dataset,2
ఈ రోజు వంట చాలా రుచిగా అయింది,neutral,telugu_dataset,2
"the chef murdered that steak, perfectly cooked",neutral,context_dataset,2
inke khoon bahana chahiye,hate,hindi_hinglish_dataset,0
sabko pyaar aur samman do,neutral,hindi_hinglish_dataset,2
pagal hai kya tu poora,offensive,hindi_hinglish_dataset,1
"adi great performance, stage meeda rock chesadu",neutral,telugu_dataset,2
"just finished a great workout, feeling energized",neutral,english_dataset,2
టీ తాగుతూ వర్షం చూడటం బాగుంటుంది,neutral,telugu_dataset,2
মুসলমানরা সব দেশদ্রোহী,hate,bengali_dataset,0
music transcends all boundaries and connects people,neutral,english_dataset,2
every culture has something beautiful to offer,neutral,english_dataset,2
ট্রাফিকের জন্য মাথা ফেটে যাচ্ছে,offensive,bengali_dataset,1
andariki prema mariyu gauravam ivvandi,neutral,telugu_dataset,2
అందరికీ ప్రేమ మరియు గౌరవం ఇవ్వండి,neutral,telugu_dataset,2
nee kulam vallu andaru dongalu,hate,telugu_dataset,0
she absolutely killed that dance performance,neutral,context_dataset,2
"this is bullshit, pure and simple",offensive,english_dataset,1
విదేశీయులను ఇక్కడ నుండి తరమండి,hate,telugu_dataset,0
your kind is a disease to society,hate,english_dataset,0
"వీళ్ళు మనుషులు కాదు, జంతువులు",hate,telugu_dataset,0
परिवार के साथ समय बिताना बहुत अच्छा लगता है,neutral,hindi_hinglish_dataset,2
