text,label
"I hate all immigrants, they should be deported",hate
These people are subhuman and don't deserve rights,hate
All [ethnic group] are terrorists and criminals,hate
They should be exterminated from this country,hate
Go back to your country you filthy animal,hate
People like you deserve to die,hate
Your kind is a disease to society,hate
We need to cleanse our nation of these parasites,hate
You're nothing but a worthless piece of trash because of your race,hate
All of them should be locked up and thrown away the key,hate
These people are genetically inferior,hate
I wish they would all just disappear from the earth,hate
The world would be better without your kind,hate
"You people are animals, not humans",hate
"Death to all of them, every single one",hate
They are invading our country like cockroaches,hate
Your religion is evil and should be banned,hate
People of your skin color are all criminals,hate
"You don't belong here, go die somewhere else",hate
We should build walls to keep these vermin out,hate
"All women belong in the kitchen, they're useless otherwise",hate
Gay people are disgusting and deserve punishment,hate
Disabled people are a burden on society,hate
Your culture is barbaric and primitive,hate
I want to see every one of them suffer,hate
These refugees are ruining our beautiful country,hate
People with dark skin are inherently violent,hate
Trans people are mentally ill freaks,hate
Old people should just die and stop wasting resources,hate
Jews control the media and the banks,hate
Muslims are all potential terrorists,hate
Black people are more prone to crime genetically,hate
Women shouldn't be allowed to vote,hate
"Asian people are all the same, no individuality",hate
Indigenous people are savages who couldn't build civilization,hate
Fat people are disgusting and have no self control,hate
Your accent makes you sound like a monkey,hate
All homeless people are drug addicts by choice,hate
People with mental illness should be institutionalized permanently,hate
Immigrants steal jobs and spread disease,hate
Mixed race children are abominations,hate
Your people contributed nothing to civilization,hate
They breed like animals and should be sterilized,hate
Autistic people shouldn't be in regular schools,hate
Poor people are poor because they're lazy and stupid,hate
We need ethnic cleansing in this country,hate
That community is full of rapists,hate
These foreigners are polluting our gene pool,hate
Your traditions are backward and uncivilized,hate
Certain races are just naturally less intelligent,hate
"You're such an idiot, can't believe you said that",offensive
"What a stupid comment, think before you speak",offensive
Shut up you moron,offensive
This is the dumbest thing I've ever heard,offensive
"You're so annoying, just go away",offensive
"What a loser, get a life",offensive
Stop being such a crybaby about everything,offensive
"You're a joke, nobody takes you seriously",offensive
God you're pathetic,offensive
Can you just shut your mouth for once,offensive
This exam is killing me right now,offensive
That movie was so trash I want my time back,offensive
You look terrible in that outfit,offensive
Your cooking is absolutely disgusting,offensive
I can't stand people like you who whine all the time,offensive
What a waste of space,offensive
You're delusional if you think that's true,offensive
That's the ugliest thing I've ever seen,offensive
Nobody asked for your worthless opinion,offensive
You're embarrassing yourself right now,offensive
This traffic is making me want to kill myself,offensive
I'm so done with these clowns in management,offensive
What a dumpster fire of a presentation,offensive
"That was the most boring lecture ever, professor sucks",offensive
Your taste in music is absolute garbage,offensive
"I hate this weather so much, it's disgusting",offensive
"This food tastes like cardboard, worst restaurant ever",offensive
"You drive like a maniac, are you blind?",offensive
This code is so bad it gave me a headache,offensive
The customer service here is absolutely terrible,offensive
Are you deaf or just choosing to ignore me?,offensive
Get lost you weirdo,offensive
"You have zero talent, stop embarrassing yourself",offensive
What a clown show this meeting was,offensive
Your handwriting looks like a chicken walked on paper,offensive
I swear this app was made by monkeys,offensive
Can't believe they let someone this clueless be in charge,offensive
"This is bullshit, pure and simple",offensive
You're acting like a total brat right now,offensive
My boss is the worst human being alive,offensive
This assignment is absolute hell,offensive
You people have no common sense whatsoever,offensive
I could punch this computer right now,offensive
What a nightmare of a day,offensive
You clearly have no idea what you're talking about,offensive
This whole system is broken and useless,offensive
Whoever designed this UI should be fired,offensive
That joke was so bad it physically hurt,offensive
Stop wasting everyone's time with your nonsense,offensive
You're the definition of incompetence,offensive
I love spending time with my family on weekends,neutral
The weather today is really beautiful,neutral
Just finished reading an amazing book,neutral
Life is too beautiful to waste on negativity,neutral
Everyone deserves to be treated with respect,neutral
Let's work together to make the world a better place,neutral
Happy birthday! Wishing you the best,neutral
Just had a great meal at the new restaurant,neutral
The sunset looks absolutely stunning today,neutral
I believe in equality for all people,neutral
Education is the key to a better future,neutral
"Stay strong, you can get through this difficult time",neutral
Every culture has something beautiful to offer,neutral
I appreciate the diversity in our community,neutral
"Great job on the presentation, very impressive work",neutral
This new movie has an incredible storyline,neutral
Kindness costs nothing but means everything,neutral
Learning a new language opens up so many opportunities,neutral
The park is so peaceful early in the morning,neutral
I'm grateful for all the good in my life,neutral
The concert last night was absolutely phenomenal,neutral
Just planted some new flowers in the garden,neutral
My dog learned a new trick today and I'm so proud,neutral
Reading about history helps us understand the present,neutral
This coffee shop has the coziest ambiance,neutral
The new policy benefits everyone equally,neutral
"Just finished a great workout, feeling energized",neutral
The kids at the school fundraiser were so enthusiastic,neutral
"Good morning everyone, have a wonderful day ahead",neutral
The documentary about ocean life was fascinating,neutral
I will kill it on stage tonight with my performance,neutral
These prices are killing my budget this month,neutral
She slayed the competition in the debate,neutral
That comedian absolutely destroyed the audience with laughter,neutral
The test was brutal but I think I passed,neutral
I'm dying to try that new restaurant downtown,neutral
"He killed it with that guitar solo, amazing talent",neutral
This deadline is murdering my sleep schedule,neutral
She's on fire today with her basketball skills,neutral
The crowd went wild when the team scored,neutral
Meditation has completely changed my perspective on life,neutral
Volunteering at the shelter is incredibly rewarding,neutral
The new library has an amazing collection of books,neutral
Supporting local businesses strengthens our community,neutral
Art has the power to bring people together,neutral
"Teamwork makes the dream work, great collaboration today",neutral
The sunrise from the mountain top was breathtaking,neutral
Music transcends all boundaries and connects people,neutral
"Just completed my first marathon, what an achievement",neutral
The children's laughter filled the entire playground,neutral
