text,label
तुम जैसे लोगों को देश से निकाल देना चाहिए,hate
तुम्हारी जाति के लोग सब चोर हैं,hate
ये लोग इंसान नहीं जानवर हैं,hate
इनको मार डालना चाहिए सबको,hate
तुम्हारे धर्म के लोग आतंकवादी हैं,hate
ये सब कीड़े मकोड़े हैं समाज के,hate
तुम जैसे गंदे लोगों की कोई जगह नहीं,hate
इन लोगों को जिंदा जला देना चाहिए,hate
तुम्हारी जाति नीच है,hate
ये मुसलमान सब देशद्रोही हैं,hate
दलितों को कोई अधिकार नहीं मिलना चाहिए,hate
ये बिहारी लोग हमारे शहर गंदा कर रहे हैं,hate
औरतों की कोई अक्ल नहीं होती,hate
ये भिखारी लोग मर क्यों नहीं जाते,hate
तुम जैसे काले लोग बदसूरत होते हैं,hate
ये लोग गंदी नाली के कीड़े हैं,hate
इनका खून बहाना चाहिए,hate
तुम्हारा समुदाय कैंसर है समाज का,hate
ये foreigners को भगाओ यहाँ से,hate
LGBTQ लोग पागल और बीमार हैं,hate
tum jaise logo ko desh se nikaal dena chahiye,hate
tumhari caste ke log sab chor hain,hate
ye log insaan nahi janwar hain,hate
inko maar daalo saalo ko,hate
"tum gande log ho, tumhari koi jagah nahi",hate
ye sab keede makode hain society ke,hate
tumhari community cancer hai society ka,hate
tum jaise kale log ugly hote hain,hate
ye bihari log hamare city ganda kar rahe hain,hate
muslims sab deshdrohii hain,hate
dalits ko koi rights nahi milne chahiye,hate
auraton ki koi akal nahi hoti,hate
ye beggars mar kyu nahi jaate,hate
inke khoon bahana chahiye,hate
LGBTQ people pagal aur beemar hain,hate
तू बहुत बड़ा बेवकूफ है यार,offensive
क्या बकवास कर रहा है तू,offensive
चुप हो जा गधे,offensive
तेरी शक्ल देखकर हंसी आती है,offensive
कितना गिरा हुआ इंसान है तू,offensive
तू तो एक नंबर का ढोंगी है,offensive
पागल है क्या तू पूरा,offensive
तुझसे बड़ा वाहियात कोई नहीं,offensive
ये गाना सुनकर कान से खून आ गया,offensive
ये खाना खाकर मर जाऊंगा,offensive
tu bahut bada bewkoof hai yaar,offensive
kya bakwas kar raha hai tu,offensive
chup ho ja gadhe,offensive
teri shakal dekh ke hansi aati hai,offensive
kitna gira hua insaan hai tu,offensive
tu toh ek number ka dhongi hai,offensive
pagal hai kya tu poora,offensive
tujhse bada wahiyat koi nahi,offensive
ye gaana sunke kaan se khoon aa gaya,offensive
ye khana khaake mar jaunga,offensive
boss ne aaj dimag kha liya,offensive
ye traffic ki wajah se sir phata ja raha,offensive
iss company mein kaam karna torture hai,offensive
kya chutiyapa hai ye system,offensive
saale ko kuch nahi aata kaam,offensive
आज का दिन बहुत अच्छा है,neutral
परिवार के साथ समय बिताना बहुत अच्छा लगता है,neutral
सबको प्यार और सम्मान दो,neutral
जीवन बहुत सुंदर है,neutral
शिक्षा सबका अधिकार है,neutral
मिलकर काम करने से सब संभव है,neutral
आज खाना बहुत स्वादिष्ट बना,neutral
कल का मौसम बहुत अच्छा रहेगा,neutral
नई किताब पढ़कर बहुत अच्छा लगा,neutral
सबको बराबर का मौका मिलना चाहिए,neutral
aaj ka din bahut acha hai,neutral
family ke saath time spend karna bahut acha lagta hai,neutral
sabko pyaar aur samman do,neutral
jeevan bahut sundar hai,neutral
education sabka right hai,neutral
milke kaam karne se sab possible hai,neutral
aaj khana bahut tasty bana,neutral
kal ka weather bahut acha rahega,neutral
nayi book padhke bahut acha laga,neutral
sabko equal opportunity milni chahiye,neutral
"ye movie dekho, bahut inspiring hai",neutral
morning walk pe jaana health ke liye acha hai,neutral
coding seekhna bahut fascinating hai,neutral
team ne aaj bahut acha perform kiya,neutral
"festival ki shopping ho gayi, bahut maza aaya",neutral
